Nome Original;Nome Padronizado
FII SUNO EL CI ER;SNEL11
FII SUNO EL CI;SNEL11
SID NACIONAL ON;CSNA3
SID NACIONAL ON;CSNA3
ISHARES BOVA CI;BOVA11
